,poem,prediction
17,poem/accuse-me-thus-i-have-scanted-all-sonnet-117,1
18,51456/drifting-56d22f338ae1d,1
0,45081/the-cremation-of-sam-mcgee,1
1,43088/degrees-of-gray-in-philipsburg,1
2,46478/a-virginal,1
3,42616/nude-descending,0
4,45484/the-barefoot-boy,1
5,57109/bleecker-street-summer,1
6,46253/november-night,1
7,51767/the-birds-eye-view,0
8,42666/new-netherland-1654,0
9,42523/the-ache-of-marriage,1
10,poem/american-sonnet-10,0
11,poem/taurus-sun-cancer-moon-scorpio-rising,0
12,51517/sad-wine-ii,0
13,43799/afton-water,1
14,45749/paradise-regaind-book-1-1671-version,1
15,45738/paradise-lost-book-2-1674-version,1
16,45552/the-simplon-pass,0
17,42635/dogs-are-shakespearean-children-are-strangers,1
18,52018/strikers-in-hyde-park,0
0,44570/to-robert-browning,1
1,40576/the-sevres-road,0
2,poem/sonnet-100,0
3,47148/my-doggy-ate-my-homework,1
4,46318/poetry-a-natural-thing,0
5,poem/dark-same-dark-when-you-close,0
6,poem/medusa-leonardo-da-vinci-florentine-gallery,1
7,42698/money-56d22150c3e71,0
8,45158/astrophil-and-stella-31-with-how-sad-steps-o-moon-thou-climbst-the-skies,1
9,44607/there-was-an-old-man-of-thermopylae,0
10,55279/ode-to-himself-come-leave-the-loathed-stage,1
11,47880/theme-for-english-b,1
12,poem/fan-piece-her-imperial-lord,1
13,159259/tigress-hugs-manchurian-fir,0
14,poem/written-after-reading-king-lear,0
15,53673/the-book-of-failed-descriptions,0
16,poem/poof-0,0
17,poem/venus-de-milo-being-rediscovered,0
18,52671/o-she-says,0
0,poem/love-song-love-songs,0
1,55564/you-part-xii,0
2,44746/sonnet-23-methought-i-saw-my-late-espoused-saint,1
3,43734/sonnets-from-the-portuguese-6-go-from-me-yet-i-feel-that-i-shall-stand,0
4,51538/passing-the-shop-after-school,0
5,45279/a-channel-crossing,0
6,poem/about-foam,0
7,43745/andrea-del-sarto,1
8,48822/rules-for-captain-ahabs-provincetown-poetry-workshop,0
9,52408/in-lovely-blue,0
10,poem/stammering-translated-sonnet-which-poet-sends-rains-havana-her-love-new-york,0
11,52586/song-error,0
12,52836/parable-of-the-desultory-slut,0
13,55691/aphrodisia,0
14,47812/failed-tribute-to-the-stonemason-of-tor-house-robinson-jeffers,0
15,45097/sonnet-66-tird-with-all-these-for-restful-death-i-cry,1
16,55440/they-say-its-new,0
17,57693/another-elegy-this-is-what-our-dying-looks-like,1
18,42853/for-elizabeth-bishop,0
0,57306/never-give-all-the-heart,1
1,51492/words-from-confinement,0
2,45669/the-last-bargain,1
3,56227/sonnet-147-my-love-is-as-a-fever-longing-still,1
4,48455/requiem-for-the-plantagenet-kings,0
5,44353/though-that-men-do-call-it-dotage,0
6,41686/scrabble-with-matthews,0
7,poem/time-tyranny-50,0
8,42803/the-bad-old-days,1
9,47962/the-panther,0
10,52027/before-a-statue-of-achilles,1
11,42839/i-know-a-man,1
12,144371/viola-59bc0222c3ea2,0
13,40785/beech,0
14,12846/who-am-i,1
15,45821/an-address-to-the-rev-george-gilfillan,1
16,43600/requiescat,1
17,poem/end-nation,0
18,50016/wyatt-resteth-here,1
0,43763/love-among-the-ruins,1
1,52603/the-mothers-loathing-of-balloons,0
2,41298/during-the-service,0
3,46817/belief,1
4,47499/the-songs-of-maximus-song-2,0
5,poem/thera,0
6,12596/beyond-the-stars,0
7,51889/sonnet-91-on-the-fleet-streams-the-sun-that-late-arose,0
8,44976/the-house-on-the-hill,0
9,poem/first-law-entanglement-swimming-pool-where-you-drowned-underworld-hospital-your-357-magnum,0
10,58557/the-wicked-one-goes-to-the-makeup-counter,0
11,poem/plans-future,0
12,43048/love-calls-us-to-the-things-of-this-world,1
13,45379/the-princess-home-they-brought-her-warrior-dead,1
14,54792/the-atrophy-of-private-life,0
15,52105/the-statue-56d230509b068,0
16,45476/patroling-barnegat,1
17,52521/deaf-republic-3,0
18,poem/forward-violet-thus-did-i-chide-sonnet-99,1
0,58129/piraeus,0
1,54756/memory-of-water,0
2,45528/london-1802,1
3,55740/wifes-disaster-manual,0
4,43746/the-bishop-orders-his-tomb-at-saint-praxeds-church,1
5,poem/indications-excerpt,1
6,44433/abou-ben-adhem,1
7,44195/the-haunted-oak,1
8,45029/bronzes,1
9,46712/introduction-to-poetry,1
10,34111/sonnet-in-the-shape-of-a-potted-christmas-tree,0
11,56978/between-the-house-and-the-hill,0
12,45465/on-being-brought-from-africa-to-america,1
13,45921/the-circuit-judge,0
14,44155/idea-6-how-many-paltry-foolish-painted-things,1
15,poem/modern-love-xxxi,0
16,50845/sweet-tooth,0
17,poem/modern-love-i,1
18,44638/milton,1
0,45362/locksley-hall,1
1,poem/ethels-sestina,0
2,48922/alas-kind-element,0
3,43715/sonnet-reversed,1
4,44643/the-old-clock-on-the-stairs,1
5,12587/to-whistler-american,0
6,46370/transformation-escape,0
7,poem/women-1980s,0
8,poem/exoskeletal-gesture,0
9,44656/song-to-amarantha-that-she-would-dishevel-her-hair,1
10,57779/the-sugar-thief,0
11,28112/we-real-cool,1
12,48893/sonnet-i-thank-you,1
13,57426/double-rainbow-56d23af1269d3,0
14,poem/i-never-saw-you-did-painting-need-sonnet-83,1
15,poem/deleting-names-decaying-sestina,0
16,poem/problem-sappho,0
17,poem/skit-sun-ra-welcomes-fallen,0
18,51911/the-indian,0
19,poem/einstein-defining-special-relativity,1
0,45483/barbara-frietchie,1
1,poem/let-me-confess-we-two-must-be-twain-sonnet-36,1
2,148385/ode-to-gossips,0
3,46650/the-twins-56d22698c349e,0
4,43312/of-de-witt-williams-on-his-way-to-lincoln-cemetery,1
5,44325/the-darkling-thrush,1
6,46396/discrete-series-town-a-town-,0
7,146239/the-etymology-of-chuuch,0
8,poem/ghareeb,0
9,poem/us-girls,0
10,53541/the-babies,0
11,poem/elegy-icarus-and-heart-hummingbird,0
12,54959/no-promissory-notes,0
13,44243/the-tree-56d223423328c,1
14,54350/departures-chapter-one,0
15,poem/october-xxix-1795,0
16,56446/thought-experiment-twin-earth-and-the-glass-of-water,0
17,58860/orphan-56d23d988b8c9,0
18,poem/blind-boones-apparitions,0
19,54268/the-minister-of-culture-gets-his-wish,0
0,46704/workshop,1
1,42759/the-dome-of-sunday,0
2,57169/dunes,0
3,45098/sonnet-71-no-longer-mourn-for-me-when-i-am-dead,1
4,poem/sonnet-vii,1
5,45461/for-christmas-day,1
6,45499/dedication-for-a-plot-of-ground,1
7,44411/a-shropshire-lad-2-loveliest-of-trees-the-cherry-now,1
8,poem/sculpture-fragments-stuart-hall,0
9,41450/sequestrienne,0
10,55970/the-heavenly-city,1
11,poem/my-butterfly,1
12,poem/macbeth-act-i-scene-vii-if-it-were-done-when-tis-done,1
13,58589/ode-to-herb-kent,0
14,45919/margaret-fuller-slack,1
15,43732/past-and-future,1
16,48716/three-sonnets,0
17,45190/amoretti-lxxix-men-call-you-fair,1
18,45380/the-princess-now-sleeps-the-crimson-petal,1
19,49582/the-japanese-wife,1
0,44657/to-althea-from-prison,1
1,50665/on-my-first-daughter,1
2,poem/gitanjali-3,1
3,poem/when-chronicle-wasted-time-sonnet-106,1
4,52513/light-blue-poles,0
5,55915/the-old-slave-music,0
6,47891/the-chorus-56d228b2a3b63,0
7,48725/the-secret-56d22a326e5a8,0
8,12847/momus,1
9,43103/the-illiterate-56d221ca1c490,1
10,52355/mosquito-at-my-ear,0
